S000006384,S000002918,Cellular Component: 0.198129646975
S000006391,S000005095,Cellular Component: 0.708405382507
S000004783,S000004103,Cellular Component: 0.120514463903
S000000537,S000002439,Cellular Component: 0.0494074443379
S000004306,S000002817,Cellular Component: 0.742127948698
S000004665,S000003853,Cellular Component: 0.742127948698
S000000438,S000002187,Cellular Component: 0.828085299132
S000005611,S000003539,Cellular Component: 0.813478996236
S000000313,S000006163,Cellular Component: 0.462944705241
S000000213,S000002633,Cellular Component: 0.72617379879
S000000143,S000002600,Cellular Component: 0.103073685425
S000004284,S000000063,Cellular Component: 0.120514463903
S000000335,S000004083,Cellular Component: 0.374141751057
S000002309,S000005642,Cellular Component: 0.708405382507
S000001511,S000002719,Cellular Component: 0.532448797645
S000002636,S000004267,Cellular Component: 0.714455862631
S000003562,S000004883,Cellular Component: 0.813478996236
S000004559,S000004190,Cellular Component: 0.777787966782
S000000146,S000005378,Cellular Component: 0.406819773489
S000000814,S000000397,Cellular Component: 0.177751831825
S000004307,S000002791,Cellular Component: 0.534368076362
S000000559,S000005098,Cellular Component: 0.0110079433499
S000000662,S000005654,Cellular Component: 0.0216388305672
S000004636,S000005937,Cellular Component: 0.850948774476
S000000032,S000003352,Cellular Component: 0.177751831825
S000000392,S000002824,Cellular Component: 0.73705768716
S000002398,S000005451,Cellular Component: 0.672729858738
S000005261,S000006311,Cellular Component: 0.742127948698
S000004883,S000000121,Cellular Component: 0.886370563499
S000005490,S000004282,Cellular Component: 0.0110079433499
S000004700,S000003975,Cellular Component: 0.103073685425
S000002625,S000006074,Cellular Component: 0.120514463903
S000002575,S000003793,Cellular Component: 0.0494074443379
S000006221,S000003783,Cellular Component: 0.0110079433499
S000002856,S000001083,Cellular Component: 0.344915594103
S000006222,S000004570,Cellular Component: 0.874544633779
S000001377,S000004650,Cellular Component: 0.933298517798
S000001195,S000002675,Cellular Component: 0.120514463903
S000005215,S000004219,Cellular Component: 0.579098210399
S000006391,S000005642,Cellular Component: 0.708405382507
S000000999,S000000404,Cellular Component: 0.542385009244
S000005398,S000000896,Cellular Component: 0.88810302259
S000003090,S000001734,Cellular Component: 0.0494074443379
S000004228,S000002608,Cellular Component: 0.361812093451
S000005750,S000002304,Cellular Component: 0.177751831825
S000006276,S000000950,Cellular Component: 0.544101059604
S000000957,S000000330,Cellular Component: 0.0494074443379
S000002309,S000006391,Cellular Component: 0.708405382507
S000000905,S000005021,Cellular Component: 0.120514463903
S000001141,S000002583,Cellular Component: 0.820787237033
S000003245,S000001495,Cellular Component: 0.885049585569
S000005704,S000000249,Cellular Component: 0.889363374653
S000001103,S000004219,Cellular Component: 0.550544599466
S000000815,S000004107,Cellular Component: 0.762539430118
S000002822,S000000807,Cellular Component: 0.361812093451
S000005816,S000005937,Cellular Component: 0.850948774476
S000005770,S000001870,Cellular Component: 0.909491728339
S000001195,S000004279,Cellular Component: 0.198129646975
S000005207,S000003178,Cellular Component: 0.374618555071
S000001886,S000003610,Cellular Component: 1.0
S000000379,S000001501,Cellular Component: 0.905959147011
S000003947,S000004301,Cellular Component: 0.274565326092
S000002476,S000002306,Cellular Component: 0.714302557113
S000001140,S000006385,Cellular Component: 0.917764002703
S000001763,S000001421,Cellular Component: 0.274565326092
S000004812,S000005952,Cellular Component: 0.120514463903
S000005364,S000004621,Cellular Component: 0.120514463903
S000004068,S000004912,Cellular Component: 0.32917757498
S000000950,S000004925,Cellular Component: 0.120514463903
S000001243,S000000121,Cellular Component: 0.177751831825
S000004762,S000004736,Cellular Component: 0.615527422615
S000005736,S000002812,Cellular Component: 0.767877356822
S000003853,S000001542,Cellular Component: 0.742127948698
S000006274,S000006252,Cellular Component: 0.053898417263
S000004106,S000001208,Cellular Component: 0.496777359309
S000003327,S000001111,Cellular Component: 0.781419129943
S000005259,S000000195,Cellular Component: 0.392142093058
S000004105,S000001710,Cellular Component: 0.742127948698
S000005750,S000001627,Cellular Component: 0.708405382507
S000005629,S000003539,Cellular Component: 0.813478996236
S000005736,S000001733,Cellular Component: 0.708405382507
S000003712,S000005564,Cellular Component: 0.177751831825
S000005509,S000002614,Cellular Component: 0.691846122033
S000001131,S000004852,Cellular Component: 0.332039892523
S000004477,S000004564,Cellular Component: 0.708405382507
S000003793,S000003949,Cellular Component: 0.0494074443379
S000000822,S000005898,Cellular Component: 0.324711098835
S000000935,S000002537,Cellular Component: 0.498178535116
S000000335,S000005632,Cellular Component: 0.374141751057
S000004506,S000002652,Cellular Component: 0.525078860236
S000004388,S000005632,Cellular Component: 0.520043483226
S000005736,S000002304,Cellular Component: 0.177751831825
S000004698,S000003973,Cellular Component: 0.754396874114
S000004029,S000002544,Cellular Component: 1.0
S000002736,S000003740,Cellular Component: 0.742127948698
